snapshot_id,captured_at_utc,top15_position,filter_rule,source_primary,source_verify,coinpaprika_id,market_cap_rank,name,symbol,asset_type,sector_primary,sector_tags,narrative_tags_normalized,narrative_summary,price_usd,change_24h_pct,momentum_bucket,volume_24h_usd,market_cap_usd,market_cap_band,turnover_ratio_24h,turnover_bucket,liquidity_bucket,binance_status,verify_grade,binance_pair,binance_last_price,binance_change_24h_pct,binance_quote_volume_usd,binance_trade_count_24h,activity_bucket,trade_activity_24h,price_diff_pct_vs_binance,change_diff_pct_points_vs_binance,volume_vs_binance_ratio,risk_flags,website,source_code,explorer,source_last_updated,meta_fetched_at
20260313T093304Z,2026-03-13T09:33:04.942416+00:00,1,24h_volume_usd_gt_150m,CoinPaprika,Binance,trump-official-trump,87,OFFICIAL TRUMP,TRUMP,token,Meme,"['Solana (SOL) Token', 'President Meme Coin', 'Meme Coin', 'Made in USA']",['Meme'],"OFFICIAL TRUMP (TRUMP) is a cryptocurrency designed to support and promote the legacy of Donald Trump, aiming to engage his supporters within the blockchain ecosystem. It utilizes fan-driven initiatives to enhance…",3.6911595144846103,29.59,Explosive,420336906.8954139,738230157.0,Small,0.5693846328407495,VeryHigh,MediumHigh,matched,VerifiedLoose,TRUMPUSDT,3.741,31.355,68984198.201622,655304,High,655304,-1.3322770787326859,-1.7650000000000006,6.093234651606499,"['MemeVolatility', 'HighTurnover', 'ShortTermOverheat']",https://gettrumpmemes.com,,,2026-03-13T09:30:22Z,2026-03-13T09:23:34.236550+00:00
20260313T093304Z,2026-03-13T09:33:04.942416+00:00,2,24h_volume_usd_gt_150m,CoinPaprika,Binance,tao-bittensor,44,BitTensor,TAO,coin,AI,"['Cryptocurrency', 'AI (Artificial Intelligence)', 'Big Data & Data Storage', 'DAO', 'Distributed Computing', 'Oracles']","['AI', 'Oracle']",BitTensor (TAO) is a decentralized ecosystem that enables artificial intelligence training by allowing users to contribute computing power and be rewarded in TAO tokens. It aims to create a collaborative network for…,237.16116356338532,12.48,VeryStrong,277705716.42623794,2276152133.0,Mid,0.12200665869386242,Moderate,Qualified,matched,VerifiedStrong,TAOUSDT,238.2,16.025,43148941.3032,234079,Moderate,234079,-0.4361194108373943,-3.544999999999998,6.435979841888793,[],https://bittensor.com,https://github.com/opentensor/BitTensor,https://bittensor.com/scan,2026-03-13T09:30:08Z,2026-03-13T09:23:34.852173+00:00
20260313T093304Z,2026-03-13T09:33:04.942416+00:00,3,24h_volume_usd_gt_150m,CoinPaprika,Binance,sui-sui,32,Sui,SUI,coin,Layer1,"['Cryptocurrency', 'Platform', 'Smart Contracts', 'Proof Of Stake', 'Layer 1 (L1)', 'Binance Launchpool', 'Made in USA']",['Layer1'],"Sui (SUI) is a scalable Layer 1 blockchain designed for secure and fast transactions, facilitating new decentralized applications and opportunities in the Web3 ecosystem. Its innovative architecture aims to optimize…",1.0396241388132657,5.99,Strong,481909212.33611166,4054518223.0,Mid,0.11885733047206276,Moderate,MediumHigh,matched,VerifiedStrong,SUIUSDT,1.0406,6.794,47814901.28364,353241,Moderate,353241,-0.09377870331869277,-0.8039999999999994,10.078640745850462,[],https://sui.io/,https://github.com/MystenLabs,https://suiscan.xyz/mainnet/home,2026-03-13T09:30:08Z,2026-03-13T09:23:35.500665+00:00
20260313T093304Z,2026-03-13T09:33:04.942416+00:00,4,24h_volume_usd_gt_150m,CoinPaprika,Binance,pepe-pepe,53,Pepe,PEPE,token,Meme,"['Ethereum (ETH) Token (ERC-20)', 'Binance Coin (BNB) Token (BEP-20)', 'Arbitrum Ecosystem', 'Frog Meme Coin', 'Meme Coin']",['Meme'],"Pepe (PEPE) is a meme-inspired cryptocurrency that represents the popular Pepe the Frog character, aiming to capture the community-driven spirit of internet culture. It has gained popularity as a playful and…",3.4749990894881e-06,4.91,Positive,278801378.95287275,1461897367.0,Mid,0.19071200567589008,High,Qualified,matched,VerifiedStrong,PEPEUSDT,3.48e-06,6.098,40755049.87282039,120894,Moderate,120894,-0.14370432505460354,-1.1879999999999997,6.840903883638868,['MemeVolatility'],https://www.pepe.vip/,,,2026-03-13T09:30:11Z,2026-03-13T09:23:36.223372+00:00
20260313T093304Z,2026-03-13T09:33:04.942416+00:00,5,24h_volume_usd_gt_150m,CoinPaprika,Binance,doge-dogecoin,10,Dogecoin,DOGE,coin,Meme,"['Cryptocurrency', 'Payments', 'Scrypt', 'Proof Of Work', 'Charity & Donations', 'Auxiliary Proof Of Work', 'Mining', 'Meme Coin', 'Dog Meme Coin', 'Made in USA']","['Meme', 'Payments']","Dogecoin (DOGE) is a cryptocurrency that started as a joke featuring the Shiba Inu dog from the popular meme, but it has grown into a widely used digital currency for tipping, charity, and online transactions. Initially…",0.09772737946328605,4.41,Positive,1131342609.3927639,14575813521.0,Large,0.07761780210502763,Moderate,High,matched,VerifiedStrong,DOGEUSDT,0.09807,6.01,101663993.14837,947878,High,947878,-0.3493632473885519,-1.5999999999999996,11.128252730951312,['MemeVolatility'],https://dogecoin.com/,https://github.com/dogecoin/dogecoin,https://blockchair.com/dogecoin/?from=coinpaprika,2026-03-13T09:30:02Z,2026-03-13T09:23:36.607694+00:00
20260313T093304Z,2026-03-13T09:33:04.942416+00:00,6,24h_volume_usd_gt_150m,CoinPaprika,Binance,aave-new,49,Aave,AAVE,token,DeFi,"['Platform', 'Smart Contracts', 'Ethereum (ETH) Token (ERC-20)', 'Marketplace', 'Loans', 'Finance & Banking', 'DeFi', 'Binance Coin (BNB) Token (BEP-20)', 'Made in USA']",['DeFi'],"Aave (AAVE) is a decentralized finance (DeFi) protocol that allows users to lend and borrow cryptocurrencies without intermediaries, utilizing smart contracts on the Ethereum blockchain. Its native token, AAVE, is used…",114.6289424237453,4.09,Positive,279980489.35017836,1727826236.0,Mid,0.1620420407542523,High,Qualified,matched,VerifiedStrong,AAVEUSDT,114.88,5.453,14622945.69832,184835,Moderate,184835,-0.218538976544825,-1.3630000000000004,19.146654519981208,[],https://aave.com/,https://github.com/aave,,2026-03-13T09:30:03Z,2026-03-13T09:23:36.414321+00:00
20260313T093304Z,2026-03-13T09:33:04.942416+00:00,7,24h_volume_usd_gt_150m,CoinPaprika,Binance,ada-cardano,12,Cardano,ADA,coin,Layer1,"['Decentralized Applications', 'Smart Contracts', 'Token Issuance', 'Proof Of Stake', 'Platform', 'Layer 1 (L1)', 'Alleged SEC Securities', 'Made in USA']",['Layer1'],"Cardano (ADA) is a decentralized platform that enables the development and execution of smart contracts and decentralized applications with a focus on scalability, sustainability, and interoperability. It utilizes a…",0.27300890269387273,3.97,Positive,486207467.82135963,10506408883.0,Large,0.04627722690367329,Low,MediumHigh,matched,VerifiedStrong,ADAUSDT,0.2731,4.797,37857081.06305,176627,Moderate,176627,-0.03335675801071938,-0.8269999999999995,12.84323709510497,[],https://www.cardano.org,https://github.com/input-output-hk/ouroboros-network,https://cexplorer.io/,2026-03-13T09:30:02Z,2026-03-13T09:23:36.913230+00:00
20260313T093304Z,2026-03-13T09:33:04.942416+00:00,8,24h_volume_usd_gt_150m,CoinPaprika,Binance,xrp-xrp,5,XRP,XRP,coin,Payments,"['Cryptocurrency', 'Payments', 'Scalable', 'Finance & Banking', 'High Transaction Speed (TPS)', 'Made in USA']",['Payments'],"XRP is a digital currency designed for fast and low-cost international money transfers, primarily used by the Ripple payment network. It aims to facilitate secure cross-border transactions and improve the efficiency of…",1.4320809828969758,3.46,Positive,2348013373.5893435,87683214481.0,Large,0.02677836787220127,Low,High,matched,VerifiedStrong,XRPUSDT,1.4315,3.928,204292337.3612,900608,High,900608,0.04058560230358607,-0.46799999999999997,11.493399135367117,[],https://xrpl.org/,https://github.com/ripple/rippled,https://xrpcharts.ripple.com/,2026-03-13T09:30:02Z,2026-03-13T09:23:37.103900+00:00
20260313T093304Z,2026-03-13T09:33:04.942416+00:00,9,24h_volume_usd_gt_150m,CoinPaprika,Binance,sol-solana,7,Solana,SOL,coin,Layer1,"['Cryptocurrency', 'Byzantine Fault Tolerance', 'Layer 1 (L1)', 'Smart Contracts', 'Proof Of Stake', 'FTX Holdings', 'High Transaction Speed (TPS)', 'Alleged SEC Securities', 'Made in USA']",['Layer1'],"Solana (SOL) is a high-performance blockchain platform designed for decentralized applications and crypto projects, featuring fast transaction speeds and low costs. It aims to provide scalable solutions for developers…",89.16974285869983,2.92,Positive,3539800718.620965,50937047039.0,Large,0.0694936382140628,Moderate,High,matched,VerifiedStrong,SOLUSDT,89.28,4.153,370474776.15948,1412621,VeryHigh,1412621,-0.1234959019939146,-1.2329999999999997,9.554768492787133,[],https://solana.com,https://github.com/solana-labs/,https://explorer.solana.com,2026-03-13T09:30:03Z,2026-03-13T09:23:37.145872+00:00
20260313T093304Z,2026-03-13T09:33:04.942416+00:00,10,24h_volume_usd_gt_150m,CoinPaprika,Binance,uni-uniswap,42,Uniswap,UNI,token,DeFi,"['Ethereum (ETH) Token (ERC-20)', 'DeFi', 'Exchange', 'Binance Coin (BNB) Token (BEP-20)', 'Huobi ECO Chain (HECO) Token', 'Optimism Ecosystem', 'Arbitrum Ecosystem', 'Polygon (MATIC) Token', 'Harmony (ONE) Token', 'Avalanche (AVAX) Token', 'Decentralized Exchange (DEX)', 'Made in USA']",['DeFi'],Uniswap (UNI) is a decentralized exchange protocol enabling users to swap various cryptocurrencies without the need for a centralized intermediary. It operates on the Ethereum blockchain and uses an automated liquidity…,4.01719551479492,2.63,Positive,155351926.93899298,2412024914.0,Mid,0.06440726463366579,Moderate,Qualified,matched,VerifiedStrong,UNIUSDT,4.023,3.739,11220198.06163,80318,Low,80318,-0.14428250571911597,-1.109,13.845738380524134,[],https://uniswap.org/,,,2026-03-13T09:30:03Z,2026-03-13T09:23:37.687789+00:00
