snapshot_id,captured_at_utc,rank_in_top15,market_cap_rank,symbol,name,display_name,asset_type,sector_primary,narrative_tags,narrative_summary,market_cap_usd,market_cap_band,price_usd,change_24h_pct,momentum_bucket,volume_24h_usd,liquidity_bucket,turnover_ratio_24h,turnover_bucket,binance_status,verify_grade,binance_pair,binance_quote_volume_usd,binance_trade_count_24h,activity_bucket,risk_flags,website,explorer
20260313T093248Z,2026-03-13T09:32:48.434304+00:00,1,87,TRUMP,OFFICIAL TRUMP,TRUMP | OFFICIAL TRUMP,token,Meme,Meme,"OFFICIAL TRUMP (TRUMP) is a cryptocurrency designed to support and promote the legacy of Donald Trump, aiming to engage his supporters within the blockchain ecosystem. It utilizes fan-driven initiatives to enhance…",738230157.0,Small,3.6911595144846103,29.59,Explosive,420336906.8954139,MediumHigh,0.5693846328407495,VeryHigh,matched,VerifiedLoose,TRUMPUSDT,68936484.182974,654930,High,MemeVolatility|HighTurnover|ShortTermOverheat,https://gettrumpmemes.com,
20260313T093248Z,2026-03-13T09:32:48.434304+00:00,2,44,TAO,BitTensor,TAO | BitTensor,coin,AI,AI|Oracle,BitTensor (TAO) is a decentralized ecosystem that enables artificial intelligence training by allowing users to contribute computing power and be rewarded in TAO tokens. It aims to create a collaborative network for…,2276152133.0,Mid,237.16116356338532,12.48,VeryStrong,277705716.42623794,Qualified,0.12200665869386242,Moderate,matched,VerifiedStrong,TAOUSDT,43142805.65709,234007,Moderate,,https://bittensor.com,https://bittensor.com/scan
20260313T093248Z,2026-03-13T09:32:48.434304+00:00,3,32,SUI,Sui,SUI | Sui,coin,Layer1,Layer1,"Sui (SUI) is a scalable Layer 1 blockchain designed for secure and fast transactions, facilitating new decentralized applications and opportunities in the Web3 ecosystem. Its innovative architecture aims to optimize…",4054518223.0,Mid,1.0396241388132657,5.99,Strong,481909212.33611166,MediumHigh,0.11885733047206276,Moderate,matched,VerifiedStrong,SUIUSDT,47812357.62759,353208,Moderate,,https://sui.io/,https://suiscan.xyz/mainnet/home
20260313T093248Z,2026-03-13T09:32:48.434304+00:00,4,53,PEPE,Pepe,PEPE | Pepe,token,Meme,Meme,"Pepe (PEPE) is a meme-inspired cryptocurrency that represents the popular Pepe the Frog character, aiming to capture the community-driven spirit of internet culture. It has gained popularity as a playful and…",1461897367.0,Mid,3.4749990894881e-06,4.91,Positive,278801378.95287275,Qualified,0.19071200567589008,High,matched,VerifiedStrong,PEPEUSDT,40739236.15884113,120858,Moderate,MemeVolatility,https://www.pepe.vip/,
20260313T093248Z,2026-03-13T09:32:48.434304+00:00,5,10,DOGE,Dogecoin,DOGE | Dogecoin,coin,Meme,Meme|Payments,"Dogecoin (DOGE) is a cryptocurrency that started as a joke featuring the Shiba Inu dog from the popular meme, but it has grown into a widely used digital currency for tipping, charity, and online transactions. Initially…",14575813521.0,Large,0.09772737946328605,4.41,Positive,1131342609.3927639,High,0.07761780210502763,Moderate,matched,VerifiedStrong,DOGEUSDT,101633541.52597,947666,High,MemeVolatility,https://dogecoin.com/,https://blockchair.com/dogecoin/?from=coinpaprika
20260313T093248Z,2026-03-13T09:32:48.434304+00:00,6,49,AAVE,Aave,AAVE | Aave,token,DeFi,DeFi,"Aave (AAVE) is a decentralized finance (DeFi) protocol that allows users to lend and borrow cryptocurrencies without intermediaries, utilizing smart contracts on the Ethereum blockchain. Its native token, AAVE, is used…",1727826236.0,Mid,114.6289424237453,4.09,Positive,279980489.35017836,Qualified,0.1620420407542523,High,matched,VerifiedStrong,AAVEUSDT,14623587.72435,184827,Moderate,,https://aave.com/,
20260313T093248Z,2026-03-13T09:32:48.434304+00:00,7,12,ADA,Cardano,ADA | Cardano,coin,Layer1,Layer1,"Cardano (ADA) is a decentralized platform that enables the development and execution of smart contracts and decentralized applications with a focus on scalability, sustainability, and interoperability. It utilizes a…",10506408883.0,Large,0.27300890269387273,3.97,Positive,486207467.82135963,MediumHigh,0.04627722690367329,Low,matched,VerifiedStrong,ADAUSDT,37851874.36671,176609,Moderate,,https://www.cardano.org,https://cexplorer.io/
20260313T093248Z,2026-03-13T09:32:48.434304+00:00,8,5,XRP,XRP,XRP | XRP,coin,Payments,Payments,"XRP is a digital currency designed for fast and low-cost international money transfers, primarily used by the Ripple payment network. It aims to facilitate secure cross-border transactions and improve the efficiency of…",87683214481.0,Large,1.4320809828969758,3.46,Positive,2348013373.5893435,High,0.02677836787220127,Low,matched,VerifiedStrong,XRPUSDT,204299556.92407,900551,High,,https://xrpl.org/,https://xrpcharts.ripple.com/
20260313T093248Z,2026-03-13T09:32:48.434304+00:00,9,7,SOL,Solana,SOL | Solana,coin,Layer1,Layer1,"Solana (SOL) is a high-performance blockchain platform designed for decentralized applications and crypto projects, featuring fast transaction speeds and low costs. It aims to provide scalable solutions for developers…",50937047039.0,Large,89.16974285869983,2.92,Positive,3539800718.620965,High,0.0694936382140628,Moderate,matched,VerifiedStrong,SOLUSDT,370322271.22263,1412382,VeryHigh,,https://solana.com,https://explorer.solana.com
20260313T093248Z,2026-03-13T09:32:48.434304+00:00,10,42,UNI,Uniswap,UNI | Uniswap,token,DeFi,DeFi,Uniswap (UNI) is a decentralized exchange protocol enabling users to swap various cryptocurrencies without the need for a centralized intermediary. It operates on the Ethereum blockchain and uses an automated liquidity…,2412024914.0,Mid,4.01719551479492,2.63,Positive,155351926.93899298,Qualified,0.06440726463366579,Moderate,matched,VerifiedStrong,UNIUSDT,11220434.04946,80316,Low,,https://uniswap.org/,
20260313T093248Z,2026-03-13T09:32:48.434304+00:00,11,31,AVAX,Avalanche,AVAX | Avalanche,coin,Layer1,Layer1,"Avalanche (AVAX) is a decentralized platform designed for launching applications and custom blockchain networks, integrating high throughput with sub-second finality. It aims to provide a scalable and efficient solution…",4168108319.0,Mid,9.87059500567227,2.58,Positive,309851508.91571206,MediumHigh,0.07433864122563175,Moderate,matched,VerifiedStrong,AVAXUSDT,23273838.2433,83881,Low,,https://avalabs.org,https://avascan.info
20260313T093248Z,2026-03-13T09:32:48.434304+00:00,12,14,BCH,Bitcoin Cash,BCH | Bitcoin Cash,coin,Layer1,Layer1|Payments,"Bitcoin Cash (BCH) is a cryptocurrency that was created as a fork of Bitcoin in 2017, aiming to enable faster and cheaper transactions by increasing block size limits. It seeks to provide a more practical digital cash…",9324029290.0,Mid,469.3511155450506,2.5,Positive,303285447.7729985,MediumHigh,0.03252729462125044,Low,matched,VerifiedStrong,BCHUSDT,15261753.5676,108938,Moderate,,https://bch.info/,https://www.blockchain.com/explorer?view=bch
20260313T093248Z,2026-03-13T09:32:48.434304+00:00,13,35,CBBTC,Coinbase Wrapped BTC,CBBTC | Coinbase Wrapped BTC,token,WrappedAsset,WrappedAsset,"Coinbase Wrapped BTC (CBBTC) is a token that represents Bitcoin on the Ethereum blockchain, allowing users to leverage Bitcoin's value within decentralized finance (DeFi) ecosystems. It retains Bitcoin's properties…",3422088800.0,Mid,71790.06462153961,2.39,Positive,399595167.4356257,MediumHigh,0.11676937414237341,Moderate,not_listed_or_no_usd_quote_found,Unverified,,,,Unknown,WrappedAsset|VenueCoverageLimited,https://coinbase.com/campaigns/cbbtc,
20260313T093248Z,2026-03-13T09:32:48.434304+00:00,14,1,BTC,Bitcoin,BTC | Bitcoin,coin,Layer1,Layer1|Payments,"Bitcoin (BTC) is a decentralized digital currency that enables peer-to-peer transactions without intermediaries, using blockchain technology to ensure security and transparency. It was created in 2009 by an anonymous…",1435868929121.0,Mega,71787.79316732861,2.38,Positive,37757770309.52369,VeryHigh,0.02629611209195673,Low,matched,VerifiedStrong,BTCUSDT,1909470462.012635,4914118,VeryHigh,,https://bitcoin.org/,https://blockchair.com/bitcoin/?from=coinpaprika
20260313T093248Z,2026-03-13T09:32:48.434304+00:00,15,67,WBNB,Wrapped BNB,WBNB | Wrapped BNB,token,WrappedAsset,WrappedAsset,"Wrapped BNB (WBNB) is a token that represents Binance Coin (BNB) on the Ethereum blockchain, allowing BNB to be used in decentralized applications and smart contracts. It maintains a 1:1 peg with BNB, enabling seamless…",1054255533.0,Mid,666.0497615818663,2.35,Positive,211769334.9552533,Qualified,0.20087097323799705,High,not_listed_or_no_usd_quote_found,Unverified,,,,Unknown,WrappedAsset|VenueCoverageLimited,https://www.binance.org,https://bscscan.com/token/0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c
